기술 스택,주요 역할 및 상세 설명,사용된 서비스 목록
Python 3.11+,비동기 처리(asyncio) 및 LLM 생태계 활용을 위한 메인 개발 언어,"GM, 시나리오, 룰 엔진, 상태 관리자, LLM 게이트웨이, BE-라우터"
Pydantic,강력한 타입 힌트 기반의 데이터 유효성 검사 및 API 스키마 정의,"GM, 시나리오, 룰 엔진, 상태 관리자, LLM 게이트웨이, BE-라우터"
FastAPI,Pydantic 기반의 고성능 비동기 API 서버 프레임워크 및 자동 문서화,"GM, 시나리오, 룰 엔진, 상태 관리자, LLM 게이트웨이, BE-라우터"
LangGraph,LLM 에이전트의 복잡한 워크플로우 제어 및 상태 머신 기반의 순환 루프 관리,"GM, 시나리오"
LangChain,프롬프트 템플릿 최적화 및 LLM 응답의 구조화된 데이터 파싱 도구,"GM, 시나리오, LLM 게이트웨이"
OpenAI / Gemini SDK,GPT-4o 및 Gemini Pro 모델 연동을 위한 전용 라이브러리,LLM 게이트웨이
uv,초고속 패키지 설치 및 프로젝트별 가상환경/의존성 통합 관리 도구,전체 서비스
Ruff,Rust 기반의 초고속 코드 린팅 및 스타일 포맷팅 자동화 도구,전체 서비스
Docker & Compose,마이크로서비스 컨테이너화 및 개발/운영 환경의 배포 일관성 유지,전체 서비스
PostgreSQL,게임 월드 상태/시나리오/플레이 로그 등의 영구적 관계형 데이터 저장,"GM, 시나리오, 룰 엔진, 상태 관리자"
Redis,API 라우팅 정보/세션 관리 및 빈번한 데이터 접근 최적화를 위한 캐시,"BE-라우터, 룰 엔진"
React / Vite,반응형 웹 인터페이스 구축 및 고속 프런트엔드 빌드 환경 제공,WEB (프런트엔드)
